epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,2230.33,1.67099,0.80307,0.87544,0.60101,0.70389,0.61843,0.29552,1.72784,1.06619,0.82064,0.0008285,0.0008285,0.0008285
73,2259.54,1.77051,0.94131,0.88476,0.5946,0.8,0.6374,0.29688,1.8082,1.09144,0.82057,0.000812,0.000812,0.000812
74,2292.7,1.71612,0.95708,0.89576,0.7955,0.93333,0.77371,0.3547,1.75345,0.9534,0.81491,0.0007955,0.0007955,0.0007955
75,2325.67,1.76536,0.98048,0.88884,0.70238,0.73333,0.60349,0.30021,1.76799,1.04193,0.81258,0.000779,0.000779,0.000779
76,2356.77,1.69437,0.86406,0.90174,0.60222,0.73333,0.59134,0.30263,1.81959,1.12969,0.82074,0.0007625,0.0007625,0.0007625
77,2386.66,1.72665,0.90559,0.87544,0.64513,0.8,0.69965,0.36521,1.77973,1.09718,0.82031,0.000746,0.000746,0.000746
78,2418.25,1.74496,0.94663,0.90673,0.68642,0.8,0.70881,0.33952,1.76756,1.07439,0.81796,0.0007295,0.0007295,0.0007295
79,2448.23,1.69058,0.85566,0.86141,0.80154,0.86667,0.75876,0.3159,1.88761,1.01919,0.82384,0.000713,0.000713,0.000713
80,2477.07,1.66622,0.87236,0.84872,0.71632,0.84257,0.6615,0.31383,1.83123,1.18407,0.82381,0.0006965,0.0006965,0.0006965
81,2507.09,1.79069,0.91649,0.86603,0.71849,0.85145,0.76961,0.26748,2.03156,1.1137,0.83494,0.00068,0.00068,0.00068
82,2538.2,1.76415,0.87586,0.89314,0.64982,0.86667,0.67417,0.33877,1.67959,0.97436,0.8153,0.0006635,0.0006635,0.0006635
83,2567.29,1.63099,0.79895,0.87808,0.73199,0.9112,0.72499,0.35285,1.72456,0.98651,0.81211,0.000647,0.000647,0.000647
84,2596.3,1.76428,0.94768,0.86724,0.77603,0.92441,0.76338,0.38494,1.77337,0.97215,0.81488,0.0006305,0.0006305,0.0006305
85,2626.92,1.81884,0.95699,0.88656,0.71835,0.85086,0.65848,0.3247,1.77852,0.93881,0.82127,0.000614,0.000614,0.000614
86,2656.84,1.61267,0.81053,0.84953,0.8086,0.86667,0.76035,0.33466,1.78495,0.90211,0.81815,0.0005975,0.0005975,0.0005975
87,2686.85,1.71114,0.8097,0.8582,0.77597,0.9241,0.76245,0.32431,1.79461,0.93649,0.81556,0.000581,0.000581,0.000581
88,2716.48,1.69592,0.80816,0.8672,0.77656,0.92714,0.76251,0.32667,1.75946,0.89978,0.81681,0.0005645,0.0005645,0.0005645
89,2745.31,1.70975,0.9409,0.85321,0.72524,0.93333,0.7457,0.3382,1.7981,0.92493,0.8132,0.000548,0.000548,0.000548
90,2774.09,1.68944,0.88269,0.83072,0.71591,0.86667,0.72534,0.32625,1.76572,1.00712,0.81785,0.0005315,0.0005315,0.0005315
91,2806.95,1.71766,0.80582,0.89904,0.71527,0.86667,0.72307,0.311,1.70891,1.01829,0.81741,0.000515,0.000515,0.000515
92,2835.53,1.59224,0.79552,0.84779,0.66491,0.9263,0.71231,0.33588,1.62325,1.0349,0.81357,0.0004985,0.0004985,0.0004985
93,2864.15,1.66488,0.85113,0.86925,0.66352,0.92074,0.70788,0.33369,1.58271,1.01247,0.81166,0.000482,0.000482,0.000482
94,2893.84,1.70842,1.01482,0.88542,0.65231,0.8,0.62886,0.29175,1.75908,1.00964,0.81771,0.0004655,0.0004655,0.0004655
95,2923.94,1.67777,0.75611,0.85922,0.7449,0.86667,0.73769,0.29784,1.76326,1.00713,0.8212,0.000449,0.000449,0.000449
96,2952.85,1.62999,0.79932,0.84205,0.69421,0.8,0.66825,0.32934,1.77303,1.01759,0.81492,0.0004325,0.0004325,0.0004325
97,2981.31,1.62607,0.82644,0.89952,0.80749,0.86667,0.76139,0.35359,1.66181,0.97547,0.8112,0.000416,0.000416,0.000416
98,3009.84,1.68966,0.81785,0.8625,0.73635,0.8,0.67624,0.37088,1.7694,1.00633,0.81447,0.0003995,0.0003995,0.0003995
99,3038.27,1.65784,0.86539,0.88746,0.77386,0.93333,0.77692,0.36167,1.75864,0.99862,0.80948,0.000383,0.000383,0.000383
100,3066.8,1.62926,0.83306,0.87678,0.82107,0.91845,0.78768,0.34422,1.70536,0.97016,0.81422,0.0003665,0.0003665,0.0003665
101,3096.69,1.78079,0.86142,0.88796,0.76221,0.93333,0.77623,0.33433,1.69993,0.92247,0.81611,0.00035,0.00035,0.00035
102,3125.87,1.55861,0.81677,0.86165,0.77176,0.93333,0.76437,0.32783,1.81106,0.94618,0.81927,0.0003335,0.0003335,0.0003335
103,3155.12,1.63059,0.81729,0.85264,0.76657,0.93333,0.76437,0.31514,1.87959,0.96898,0.81978,0.000317,0.000317,0.000317
104,3184.44,1.54841,0.79119,0.85008,0.82038,0.91432,0.77788,0.34772,1.86575,0.88989,0.81856,0.0003005,0.0003005,0.0003005
105,3217.82,1.42418,0.67599,0.82257,0.77158,0.93333,0.76542,0.3475,1.83993,0.96199,0.8173,0.000284,0.000284,0.000284
106,3251.17,1.58439,0.7924,0.88361,0.71836,0.86667,0.70869,0.2958,1.88408,1.04769,0.82187,0.0002675,0.0002675,0.0002675
107,3280.96,1.76372,0.8432,0.87723,0.66225,0.8,0.63549,0.30801,1.9317,1.05342,0.82295,0.000251,0.000251,0.000251
108,3310.13,1.52628,0.76483,0.83832,0.71639,0.86667,0.70784,0.31312,1.80882,0.95157,0.81606,0.0002345,0.0002345,0.0002345
109,3340.86,1.61738,0.73958,0.87028,0.77292,0.93333,0.76384,0.34298,1.7948,0.91675,0.81743,0.000218,0.000218,0.000218
110,3369.63,1.48096,0.7204,0.85726,0.73119,0.93333,0.74585,0.32466,1.75383,0.96005,0.81423,0.0002015,0.0002015,0.0002015
111,3403.64,1.64182,0.90984,0.87854,0.73148,0.93333,0.74458,0.32509,1.77041,0.99957,0.81563,0.000185,0.000185,0.000185
112,3436.98,1.4902,0.7725,0.88925,0.62627,0.8,0.57922,0.27235,1.89443,1.00659,0.81744,0.0001685,0.0001685,0.0001685
113,3466.8,1.51216,0.76633,0.88571,0.67701,0.73333,0.59789,0.26468,1.87842,0.94494,0.81571,0.000152,0.000152,0.000152
114,3498.99,1.50067,0.85842,0.87279,0.67906,0.73333,0.58938,0.28633,1.81781,0.99965,0.8134,0.0001355,0.0001355,0.0001355
115,3527.47,1.48886,0.78725,0.82195,0.74079,0.8,0.66491,0.28803,1.75682,1.00882,0.81,0.000119,0.000119,0.000119
116,3557.9,1.57688,0.76157,0.90963,0.74303,0.8,0.67734,0.27414,1.75627,1.01303,0.80922,0.0001025,0.0001025,0.0001025
117,3586.39,1.54094,0.72034,0.88669,0.76228,0.85569,0.68091,0.27636,1.80702,0.97682,0.81164,8.6e-05,8.6e-05,8.6e-05
118,3620.2,1.54074,0.76709,0.86599,0.76263,0.85725,0.69365,0.29128,1.81713,0.93604,0.81347,6.95e-05,6.95e-05,6.95e-05
119,3654.69,1.53049,0.76535,0.85817,0.76191,0.85401,0.70477,0.3057,1.78927,0.94652,0.81112,5.3e-05,5.3e-05,5.3e-05
120,3685.11,1.42506,0.72123,0.86366,0.75031,0.93333,0.74206,0.31605,1.72008,0.94783,0.80854,3.65e-05,3.65e-05,3.65e-05
